tipologia,istituzione,long,lat
UNI,UniCatt,45.461911,9.177022
UNI,UniMIb,45.518425,9.213396
UNI,UniMI,45.460365,9.194135
UNI,UniPa,38.118307,13.369164
EPR,CNR-RM,41.900768,12.512543
EPR,INGV-CT,37.513567,15.082100
IRCSS,Meyer,43.810269,11.252335
